label,width,height,font_size,label_radius
Rodriguez's youngest son,360.00,30.00,25.0,180.62
Roger Rabbit,180.00,30.00,25.0,91.24
Roman Polanski,210.00,30.00,25.0,106.07
Ronald Reagan,187.20,28.80,24.0,94.70
Rose Bowl crowd,234.00,31.20,26.0,118.04
Rossini,105.00,30.00,25.0,54.60
Rubén Salazar,195.00,30.00,25.0,98.65
Rush Limbaugh,195.00,30.00,25.0,98.65
Saint Fernando,201.60,28.80,24.0,101.82
Saints,86.40,28.80,24.0,45.54
Sally Jesse Raphael,285.00,30.00,25.0,143.29
Salvador Allende,230.40,28.80,24.0,116.10
Sam S. Shubert,210.00,30.00,25.0,106.07
